origin,destination,distance_meters,duration_seconds,duration_in_traffic_seconds,departure_time
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1916,2024-09-02 17:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1880,2024-09-02 18:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1774,2024-09-02 19:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1718,2024-09-02 20:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1668,2024-09-02 21:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1630,2024-09-02 22:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1602,2024-09-02 23:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1733,2024-09-03 00:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,1920,2024-09-03 01:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2348,2024-09-03 02:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2475,2024-09-03 03:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2986,2024-09-03 04:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2786,2024-09-03 05:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2746,2024-09-03 06:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2738,2024-09-03 07:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2958,2024-09-03 08:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,3077,2024-09-03 09:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,3019,2024-09-03 10:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2886,2024-09-03 11:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,3280,2024-09-03 12:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,3631,2024-09-03 13:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,3176,2024-09-03 14:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2536,2024-09-03 15:22:03
"Ballygunge, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",19955,2288,2229,2024-09-03 16:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1562,2024-09-02 17:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1573,2024-09-02 18:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1547,2024-09-02 19:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1505,2024-09-02 20:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1465,2024-09-02 21:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1448,2024-09-02 22:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1395,2024-09-02 23:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1445,2024-09-03 00:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1636,2024-09-03 01:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2012,2024-09-03 02:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2343,2024-09-03 03:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2839,2024-09-03 04:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2594,2024-09-03 05:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2550,2024-09-03 06:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2287,2024-09-03 07:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2510,2024-09-03 08:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2460,2024-09-03 09:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2374,2024-09-03 10:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2259,2024-09-03 11:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2606,2024-09-03 12:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2868,2024-09-03 13:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2404,2024-09-03 14:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,2007,2024-09-03 15:22:03
"Ballygunge, Kolkata, West Bengal","New Town, Kolkata, West Bengal",16471,1910,1780,2024-09-03 16:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,3999,2024-09-02 17:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,3279,2024-09-02 18:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,3002,2024-09-02 19:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,2834,2024-09-02 20:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,2735,2024-09-02 21:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,2709,2024-09-02 22:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,2680,2024-09-02 23:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,2914,2024-09-03 00:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,3507,2024-09-03 01:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4033,2024-09-03 02:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4440,2024-09-03 03:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4949,2024-09-03 04:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4812,2024-09-03 05:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4778,2024-09-03 06:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4827,2024-09-03 07:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4846,2024-09-03 08:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4845,2024-09-03 09:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4768,2024-09-03 10:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4739,2024-09-03 11:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,5236,2024-09-03 12:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,5591,2024-09-03 13:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,5055,2024-09-03 14:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4573,2024-09-03 15:22:03
"Ballygunge, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",31032,3897,4011,2024-09-03 16:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6403,1309,1024,2024-09-02 17:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,973,2024-09-02 18:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6403,1309,890,2024-09-02 19:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6403,1309,824,2024-09-02 20:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6403,1309,805,2024-09-02 21:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6403,1309,795,2024-09-02 22:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,838,2024-09-02 23:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,915,2024-09-03 00:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1211,2024-09-03 01:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",9617,1459,1451,2024-09-03 02:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6247,1297,1356,2024-09-03 03:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1548,2024-09-03 04:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1762,2024-09-03 05:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1877,2024-09-03 06:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1881,2024-09-03 07:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1961,2024-09-03 08:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1910,2024-09-03 09:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1845,2024-09-03 10:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1823,2024-09-03 11:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1861,2024-09-03 12:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1847,2024-09-03 13:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1629,2024-09-03 14:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1431,2024-09-03 15:22:03
"Ballygunge, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",6518,1344,1198,2024-09-03 16:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5063,999,809,2024-09-02 17:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,774,2024-09-02 18:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,735,2024-09-02 19:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,688,2024-09-02 20:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,662,2024-09-02 21:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,637,2024-09-02 22:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,609,2024-09-02 23:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,671,2024-09-03 00:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,770,2024-09-03 01:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,1102,2024-09-03 02:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,956,2024-09-03 03:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,1166,2024-09-03 04:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,1313,2024-09-03 05:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",5064,994,1368,2024-09-03 06:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1401,2024-09-03 07:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1590,2024-09-03 08:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",6075,1227,1520,2024-09-03 09:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1450,2024-09-03 10:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1315,2024-09-03 11:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1456,2024-09-03 12:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1517,2024-09-03 13:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1314,2024-09-03 14:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,1081,2024-09-03 15:22:03
"Ballygunge, Kolkata, West Bengal","Esplanade, Kolkata, West Bengal",7801,1067,945,2024-09-03 16:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1795,2024-09-02 17:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1748,2024-09-02 18:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1623,2024-09-02 19:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1558,2024-09-02 20:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1497,2024-09-02 21:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1474,2024-09-02 22:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1458,2024-09-02 23:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1585,2024-09-03 00:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1730,2024-09-03 01:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,1948,2024-09-03 02:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2323,2024-09-03 03:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2851,2024-09-03 04:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2538,2024-09-03 05:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2391,2024-09-03 06:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2396,2024-09-03 07:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2419,2024-09-03 08:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2503,2024-09-03 09:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2450,2024-09-03 10:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2526,2024-09-03 11:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2812,2024-09-03 12:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,3056,2024-09-03 13:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2755,2024-09-03 14:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2252,2024-09-03 15:22:03
"Ruby General Hospital, Kolkata, West Bengal","Netaji Subhash Chandra Bose International Airport, Kolkata, West Bengal",18286,2112,2032,2024-09-03 16:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1456,2024-09-02 17:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1445,2024-09-02 18:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1407,2024-09-02 19:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1373,2024-09-02 20:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1334,2024-09-02 21:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1315,2024-09-02 22:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1266,2024-09-02 23:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1325,2024-09-03 00:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1450,2024-09-03 01:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1680,2024-09-03 02:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2239,2024-09-03 03:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2766,2024-09-03 04:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2401,2024-09-03 05:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2265,2024-09-03 06:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1963,2024-09-03 07:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1994,2024-09-03 08:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1914,2024-09-03 09:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1920,2024-09-03 10:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1940,2024-09-03 11:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2177,2024-09-03 12:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2387,2024-09-03 13:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,2045,2024-09-03 14:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1716,2024-09-03 15:22:03
"Ruby General Hospital, Kolkata, West Bengal","New Town, Kolkata, West Bengal",14802,1734,1603,2024-09-03 16:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,3930,2024-09-02 17:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,3106,2024-09-02 18:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2840,2024-09-02 19:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2702,2024-09-02 20:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2632,2024-09-02 21:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2573,2024-09-02 22:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2549,2024-09-02 23:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,2822,2024-09-03 00:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,3217,2024-09-03 01:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,3729,2024-09-03 02:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4337,2024-09-03 03:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4872,2024-09-03 04:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4636,2024-09-03 05:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4490,2024-09-03 06:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4539,2024-09-03 07:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4430,2024-09-03 08:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4386,2024-09-03 09:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4381,2024-09-03 10:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4451,2024-09-03 11:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4726,2024-09-03 12:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4971,2024-09-03 13:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4528,2024-09-03 14:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,4237,2024-09-03 15:22:03
"Ruby General Hospital, Kolkata, West Bengal","Barasat, Kolkata, West Bengal",29363,3721,3836,2024-09-03 16:22:03
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1450,2024-09-02 17:22:03
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1374,2024-09-02 18:22:03
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1298,2024-09-02 19:22:03
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1242,2024-09-02 20:22:03
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1194,2024-09-02 21:22:03
"Ruby General Hospital, Kolkata, West Bengal","Victoria Memorial, Kolkata, West Bengal",11832,1764,1181,2024-09-02 22:22:03
